"Time","X","Y","X Velocity","Y Velocity"
2.008,0.2299,0.1796,-0.616,0.562
2.042,0.2094,0.1988,-0.624,0.532
2.075,0.1886,0.2174,-0.638,0.463
2.108,0.1688,0.2303,-0.706,0.373
2.142,0.1412,0.2426,-0.773,0.265
2.175,0.1171,0.2487,-0.833,0.135
2.208,0.08571,0.2505,-0.887,0.033
2.242,0.05589,0.2506,-0.883,-0.059
2.275,0.02787,0.2472,-0.903,-0.166
2.308,-0.004224,0.2394,-0.920,-0.273
2.342,-0.03406,0.2293,-0.922,-0.388
2.375,-0.06665,0.2141,-0.895,-0.515
2.408,-0.09360,0.1941,-0.866,-0.612
2.442,-0.1241,0.1713,-0.838,-0.652
2.475,-0.1501,0.1512,-0.793,-0.703
2.508,-0.1776,0.1248,-0.726,-0.759
2.542,-0.1987,0.1008,-0.649,-0.822
2.575,-0.2215,0.06863,-0.554,-0.847
2.608,-0.2351,0.04370,-0.470,-0.849
2.642,-0.2519,0.01299,-0.408,-0.869
2.677,-0.2642,-0.01658,-0.316,-0.863
2.710,-0.2742,-0.04623,-0.204,-0.849
2.743,-0.2775,-0.07323,-0.097,-0.827
2.777,-0.2797,-0.1024,-0.014,-0.775
2.810,-0.2781,-0.1249,0.059,-0.721
2.843,-0.2768,-0.1501,0.157,-0.677
2.877,-0.2678,-0.1694,0.262,-0.649
2.910,-0.2582,-0.1935,0.341,-0.606
2.943,-0.2465,-0.2131,0.457,-0.474
2.977,-0.2276,-0.2259,0.564,-0.317
3.010,-0.2079,-0.2311,0.645,-0.236
3.043,-0.1837,-0.2418,0.696,-0.158
3.077,-0.1618,-0.2429,0.746,-0.052
3.110,-0.1338,-0.2446,0.791,0.038
3.143,-0.1082,-0.2408,0.814,0.138
3.177,-0.08008,-0.2346,0.848,0.212
3.210,-0.05131,-0.2262,0.871,0.278
3.243,-0.02154,-0.2161,0.878,0.350
3.277,0.007046,-0.2054,0.886,0.487
3.310,0.03913,-0.1841,0.857,0.635
3.343,0.06240,-0.1591,0.866,0.680
