"Time","X","Y","X Velocity","Y Velocity"
3.377,0.09649,-0.1395,0.881,0.734
3.410,0.1246,-0.1102,0.808,0.781
3.443,0.1488,-0.08677,0.767,0.810
3.477,0.1757,-0.05707,0.719,0.860
3.510,0.1987,-0.02781,0.622,0.869
3.543,0.2165,-0.0002420,0.535,0.896
3.577,0.2346,0.03240,0.439,0.904
3.610,0.2464,0.06335,0.335,0.830
3.643,0.2558,0.08510,0.260,0.818
3.677,0.2631,0.1167,0.200,0.828
3.710,0.2697,0.1436,0.125,0.751
3.743,0.2724,0.1672,0.017,0.655
3.777,0.2714,0.1880,-0.103,0.538
3.810,0.2652,0.2014,-0.214,0.469
3.843,0.2557,0.2176,-0.283,0.439
3.877,0.2461,0.2328,-0.344,0.357
3.910,0.2334,0.2424,-0.419,0.246
3.943,0.2194,0.2485,-0.526,0.144
3.977,0.1971,0.2530,-0.605,0.019
4.010,0.1780,0.2496,-0.652,-0.100
4.043,0.1552,0.2446,-0.733,-0.177
4.077,0.1277,0.2395,-0.773,-0.293
4.110,0.1032,0.2255,-0.801,-0.414
4.143,0.07411,0.2097,-0.821,-0.480
4.177,0.04865,0.1931,-0.844,-0.530
4.210,0.01843,0.1757,-0.878,-0.611
4.243,-0.01121,0.1516,-0.877,-0.675
4.277,-0.04042,0.1310,-0.864,-0.742
4.310,-0.06775,0.1019,-0.872,-0.796
4.345,-0.1007,0.07438,-0.859,-0.795
4.378,-0.1279,0.04980,-0.803,-0.851
4.412,-0.1548,0.01773,-0.726,-0.908
4.445,-0.1761,-0.01141,-0.647,-0.941
4.478,-0.1979,-0.04675,-0.571,-0.917
4.512,-0.2142,-0.07488,-0.495,-0.823
4.545,-0.2303,-0.1003,-0.438,-0.760
4.578,-0.2431,-0.1249,-0.383,-0.710
4.612,-0.2571,-0.1479,-0.291,-0.657
4.645,-0.2637,-0.1699,-0.169,-0.579
4.678,-0.2671,-0.1847,-0.075,-0.541
4.712,-0.2676,-0.2049,0.000,-0.527
4.745,-0.2693,-0.2233,0.129,-0.420
4.778,-0.2608,-0.2326,0.297,-0.310
4.812,-0.2465,-0.2444,0.383,-0.180
4.845,-0.2326,-0.2455,0.388,-0.031
4.878,-0.2209,-0.2444,0.396,0.060
4.912,-0.2075,-0.2415,0.445,0.145
4.945,-0.1936,-0.2338,0.557,0.209
4.978,-0.1695,-0.2283,0.649,0.293
5.012,-0.1478,-0.2165,0.679,0.434
5.045,-0.1259,-0.1974,0.743,0.523
5.078,-0.09908,-0.1806,0.821,0.578
5.112,-0.06931,-0.1586,0.851,0.622
5.145,-0.04129,-0.1391,0.852,0.665
5.178,-0.01265,-0.1162,0.854,0.759
5.212,0.01392,-0.08651,0.892,0.802
5.245,0.04814,-0.06307,0.890,0.847
5.278,0.07635,-0.03062,0.807,0.897
5.312,0.1010,-0.0002866,0.740,0.870
5.345,0.1239,0.02603,0.721,0.870
5.378,0.1494,0.05754,0.702,0.867
5.412,0.1707,0.08562,0.675,0.818
5.445,0.1959,0.1122,0.603,0.759
5.478,0.2134,0.1358,0.470,0.710
5.512,0.2239,0.1598,0.412,0.655
5.545,0.2397,0.1781,0.377,0.625
5.578,0.2535,0.2035,0.235,0.536
5.612,0.2552,0.2164,0.097,0.384
5.645,0.2568,0.2264,0.032,0.297
5.678,0.2585,0.2347,-0.051,0.249
5.712,0.2535,0.2442,-0.130,0.177
5.745,0.2485,0.2475,-0.180,0.075
5.778,0.2429,0.2487,-0.264,-0.023
5.812,0.2313,0.2470,-0.357,-0.146
5.845,0.2178,0.2393,-0.418,-0.277
5.878,0.2034,0.2270,-0.477,-0.372
5.912,0.1866,0.2154,-0.547,-0.482
5.945,0.1673,0.1948,-0.632,-0.582
5.978,0.1437,0.1739,-0.694,-0.611
6.013,0.1206,0.1543,-0.763,-0.668
6.047,0.08947,0.1292,-0.781,-0.745
6.080,0.06772,0.1035,-0.777,-0.797
6.113,0.04140,0.07582,-0.858,-0.836
6.147,0.007677,0.04688,-0.863,-0.848
6.180,-0.01853,0.01843,-0.810,-0.838
6.213,-0.04423,-0.007324,-0.801,-0.869
6.247,-0.07156,-0.03966,-0.805,-0.892
6.280,-0.09833,-0.06812,-0.798,-0.877
6.313,-0.1251,-0.09876,-0.777,-0.841
6.347,-0.1519,-0.1254,-0.711,-0.770
6.380,-0.1710,-0.1479,-0.637,-0.716
